title,institution,city,state_province,country,type,duration_months,tuition_fee,currency,fee_basis,language,specialization,website_url,description,notes
Master of Information Technology,University of Melbourne,Melbourne,Victoria,Australia,Master,24,58976,AUD,annual,English,"Artificial Intelligence, Computing, Cybersecurity, Distributed Computing, Human-Computer Interaction",https://study.unimelb.edu.au/find/courses/graduate/master-of-information-technology,"Comprehensive IT program covering software development, AI, and distributed systems with strong industry projects.",
Master of Information Systems,University of Melbourne,Melbourne,Victoria,Australia,Master,24,58976,AUD,annual,English,"Business Process Management, IT Strategy, Information Systems, Data Analytics, Digital Transformation",https://study.unimelb.edu.au/find/courses/graduate/master-of-information-systems,Blend business and IT to drive organisational and technological change and transform the way the world works. The Master of Information Systems is suited for students who want the skillset to be tomorrow’s digital thinkers and business leaders.,
Master of Software Engineering,University of Melbourne,Melbourne,Victoria,Australia,Master,24,62976,AUD,annual,English,"Software Architecture, Agile Development, Software Testing, Cloud Engineering, DevOps",https://study.unimelb.edu.au/find/courses/graduate/master-of-software-engineering,"Transform future business, health and communication with the Master of Software Engineering at Australia’s leading university.* Learn best practice for every stage of the software development cycle from design and engineering to deployment.",
Master of Computer Science,University of Melbourne,Melbourne,Victoria,Australia,Master,24,62976,AUD,annual,English,"Knowledge Systems, Programming Languages, Distributed Computing, Spatial Information Science, AI",https://study.unimelb.edu.au/find/courses/graduate/master-of-computer-science,"The Master of Computer Science will give you a broad base of high-level knowledge to keep up with these advances, with specialist skills in at least one area of knowledge systems, programming languages and distributed computing, information systems, mathematics/statistics, spatial information science or linguistics.",
Master of Data Science,University of Melbourne,Melbourne,Victoria,Australia,Master,24,57984,AUD,annual,English,"Foundational Data Science, Statistical Data Science, Computational Data Science",https://study.unimelb.edu.au/find/courses/graduate/master-of-data-science,"Join the rapidly evolving field of data analytics and build your advanced statistics, machine learning, and programming skills. Build foundational technical and analytical skills for working with large, complex collections of data. And dive deeper with specialisation streams and a dedicated major data science project.",
Master of Data Science,The University of Sydney,Sydney,New South Wales,Australia,Master,18,57900,AUD,annual,English,"Data Mining, Machine Learning, Statistical Modelling, Data Visualisation, Big Data",https://www.sydney.edu.au/courses/courses/pc/master-of-data-science.html,"You will develop the analytical and technical skills to use data science to guide strategic decision making. Explore data mining, machine learning and data visualisation, and develop the skills to communicate data insights to key stakeholders effectively.",
Master of Computer Science,The University of Sydney,Sydney,New South Wales,Australia,Master,24,57900,AUD,annual,English,"Artificial Intelligence, Cybersecurity, Software Engineering, Networking, Distributed Systems",https://www.sydney.edu.au/courses/courses/pc/master-of-computer-science.html,"Gain expertise, skills and experience in information technology. By combining technical knowledge with real-world experience, graduate ready to develop innovative solutions that address challenges in generative AI, cybersecurity, programming, software engineering, network systems and more.",
Master of Cybersecurity,The University of Sydney,Sydney,New South Wales,Australia,Master,18,57900,AUD,annual,English,"Network Security, Digital Forensics, Cryptography, Risk Management, Cyber Threat Intelligence",https://www.sydney.edu.au/courses/courses/pc/master-of-cybersecurity.html,"Designed for professionals wanting to become leaders and technical experts within the field of cybersecurity, an industry projected to require 17,000 additional professionals in cybersecurity positions in the next five years.",
Master of Information Technology,Monash University,Melbourne,Victoria,Australia,Master,24,55000,AUD,annual,English,"Artificial Intelligence, Cybersecurity, Data Science, Software Development, Cloud Computing",https://www.monash.edu/study/courses/find-a-course/2025/information-technology-c6001,"At Monash, you’ll be hearing directly from Australia’s best IT experts. Yes, you’ll be exposed to the latest technology and cutting-edge thinking. But more than that, we’ll train you to focus on the big challenges of our time and aim to create a positive impact when you can. This course is accredited by the Australian Computer Society (ACS).",
Master of Data Science,Monash University,Melbourne,Victoria,Australia,Master,24,55000,AUD,annual,English,"Machine Learning, Big Data Analytics, Statistical Modelling, Data Engineering, AI Applications",https://www.monash.edu/study/courses/find-a-course/2025/data-science-c6008,"Gain skills to manage, analyse and process data, expanding your knowledge of its analytical, organisational and computational aspects. Find innovative solutions to some of the biggest challenges facing the world today and make lives better. Help provide the evidence needed to change minds and transform businesses, communities and countries.",
Master of Computer Science,Australian National University,Canberra,ACT,Australia,Master,24,52000,AUD,annual,English,"Artificial Intelligence, Data Science, Advanced Computing, Software Systems, Human-Computer Interaction",https://programsandcourses.anu.edu.au/2026/program/mcomp,"Research-driven program focusing on AI, data science, and advanced computing technologies.",
Master of Data Science,University of Queensland,Brisbane,Queensland,Australia,Master,18,47000,AUD,annual,English,"Machine Learning, Big Data Analytics, Statistical Modelling, Data Visualisation, Business Intelligence",https://my.uq.edu.au/programs-courses/program.html?acad_prog=5544,"Focuses on big data analytics, machine learning, and statistical modeling for real-world applications.",
Master of Information Technology,University of New South Wales,Sydney,New South Wales,Australia,Master,24,52000,AUD,annual,English,"Cloud Computing, Cybersecurity, Data Science, Software Engineering, IT Management",https://www.unsw.edu.au/study/postgraduate/master-of-information-technology,Industry-aligned IT program with strong emphasis on cloud computing and cybersecurity.,
Master of Software Engineering,University of Technology Sydney,Sydney,New South Wales,Australia,Master,24,46000,AUD,annual,English,"Agile Software Development, Software Architecture, Cloud Systems, DevOps, Software Quality",https://www.uts.edu.au/study/find-a-course/courses/c04279,Practical software engineering program with agile development and real-world projects.,
Diploma of Information Technology,TAFE NSW,Sydney,New South Wales,Australia,Bootcamp,12,16000,AUD,annual,English,"Programming, Networking, Database Systems, Cybersecurity, Systems Administration",https://www.tafensw.edu.au/course/-/c/cuh6022v/diploma-of-information-technology,"Hands-on training in programming, networking, and database systems for entry-level IT careers.",
Coding Bootcamp,General Assembly,Sydney,New South Wales,Australia,Bootcamp,3,15000,AUD,total,English,"Web Development, JavaScript, Full-Stack Engineering, React, Software Engineering",https://generalassemb.ly/education/software-engineering-immersive,"Intensive coding bootcamp covering web development, JavaScript, and full-stack applications.",
Data Science Bootcamp,Le Wagon,Melbourne,Victoria,Australia,Bootcamp,3,14000,AUD,total,English,"Python, Machine Learning, Data Visualisation, Data Engineering, Deep Learning",https://www.lewagon.com/data-science-course,"Fast-paced data science program focusing on Python, machine learning, and data visualization.",
Master of Computing,Australian National University,Canberra,ACT,Australia,Master,24,56120,AUD,annual,English,"Software Development, Computing Practice, Cybersecurity, AI, Data Science",https://programsandcourses.anu.edu.au/2026/program/mcomp,"Professionally accredited computing degree covering software development and computing practice, suitable for students wanting to build or deepen computing knowledge.",
Master of Data Science,University of British Columbia,Vancouver,British Columbia,Canada,Master,10,59767.92,CAD,total,English,"Machine Learning, Data Wrangling, Statistical Reasoning, Collaborative Projects, Python",https://masterdatascience.ubc.ca,Intensive in-person data science program with strong technical training and real-world data experience.,
